# lumi Mchi Mphi nEvent
27438 1 100 253
27649 1 300 231
26806 1 450 227
26822 1 500 222
27041 1 250 233
27187 1 500 220
28759 1 400 223
26871 49 100 256
26895 1 100 272
26968 20 100 255
27033 30 100 237
27114 1 200 246
27122 1 450 226
27292 1 100 262
27446 1 250 248
27746 1 100 278
27452 1 500 219
28713 1 400 226
27665 40 100 266
28009 1 250 233
30910 1 50 300
28743 1 200 238
29428 1 350 234
29744 1 100 272
28929 1 450 218
28799 1 50 262
28921 1 100 268
29128 1 200 209
29201 1 450 209
29363 1 250 249
29387 1 400 200
28795 1 200 262
28944 1 150 263
28979 1 50 271
30090 1 300 226
29063 51 100 266
29120 55 100 243
31385 1 200 260
29452 20 100 267
30756 49 100 269
32065 49 100 238
20357 1 350 231
20362 1 250 237
20477 1 100 270
32744 55 100 258
32745 1 100 267
32748 1 50 275
32762 1 100 255
53085 1 250 232
53086 1 400 228
53092 1 300 221
53095 1 500 197
53083 45 100 259
53084 1 100 253
53087 49 100 259
53090 1 50 265
53091 40 100 261
53093 1 150 259
53094 1 100 274
53096 1 450 230
53098 1 50 277
53099 49 100 272
53101 1 250 245
53102 1 50 277
53097 1 300 223
53104 1 300 227
53103 1 150 272
53110 51 100 248
53111 1 50 260
53112 1 250 258
53113 1 350 230
53147 1 100 269
53108 1 100 274
53174 49 100 262
53182 51 100 287
53202 30 100 260
53217 1 100 276
53229 1 50 280
53141 51 100 243
53151 1 50 255
53157 55 100 280
53188 20 100 275
53190 1 150 272
53191 1 50 253
53192 30 100 273
53193 1 100 244
53194 1 100 273
53196 1 300 237
53198 1 100 268
53199 40 100 283
53203 45 100 285
53204 51 100 249
53205 20 100 263
53240 40 100 297
53243 1 100 275
53244 49 100 282
53913 49 100 244
55851 1 100 257
55852 45 100 256
54969 40 100 265
54788 51 100 280
54789 1 100 263
54796 45 100 279
54797 20 100 275
54798 45 100 273
54836 49 100 294
54791 1 50 260
54794 51 100 261
54799 1 50 281
54807 1 100 236
54856 1 50 272
54864 20 100 271
54846 1 100 285
54849 45 100 273
54858 1 150 285
54861 1 200 220
54862 1 300 258
54868 1 50 254
54870 1 50 258
54873 40 100 263
54874 45 100 266
54876 1 250 221
54877 20 100 277
54892 40 100 279
54938 1 50 278
54939 40 100 260
54940 1 50 254
54942 1 450 226
54945 1 450 232
54899 45 100 256
54919 45 100 256
54925 1 250 233
54927 1 200 245
54930 1 100 259
55855 1 500 197
56131 1 300 221
55028 1 50 267
55038 1 50 299
55041 20 100 274
55042 45 100 253
55044 1 100 252
55051 1 100 284
55194 1 100 249
55296 1 400 230
55298 1 50 270
55301 20 100 257
55862 45 100 249
55865 1 100 284
55867 1 100 258
55868 55 100 241
55869 1 250 242
55870 45 100 281
55871 51 100 256
55874 49 100 260
55875 45 100 250
55876 1 400 238
55877 40 100 263
55878 1 100 267
55881 1 100 248
55883 49 100 269
55884 1 100 286
55887 1 100 276
55898 1 50 280
55899 1 500 225
55900 51 100 255
56016 1 50 267
56019 1 100 253
56026 1 50 268
55935 1 350 242
55936 30 100 264
55937 1 200 243
55938 1 50 269
55940 1 100 253
55942 1 250 237
55944 51 100 262
55946 1 150 245
55947 1 150 249
55948 51 100 256
55950 1 200 231
55951 55 100 257
55955 51 100 260
55956 1 50 279
55959 40 100 259
56323 1 500 230
56333 1 100 249
56334 30 100 261
56001 1 150 260
56003 49 100 264
56004 1 100 252
56005 1 350 229
56006 1 400 238
56007 1 300 243
56025 1 150 257
56027 55 100 263
56034 1 100 274
56038 49 100 270
56039 1 50 281
56040 45 100 263
56028 40 100 255
56029 51 100 250
56030 1 50 250
56031 1 100 274
56032 1 50 270
56033 51 100 252
56067 1 100 275
56068 55 100 241
56069 1 100 262
56070 30 100 264
56073 1 400 213
56153 1 250 234
56190 1 100 287
56191 30 100 262
56196 1 50 268
56236 51 100 267
56237 20 100 261
56239 1 200 246
56213 1 500 203
56219 1 250 257
56232 55 100 270
56243 1 100 301
56233 20 100 256
56234 30 100 251
56235 1 250 212
56238 1 450 211
56242 1 100 263
56246 1 50 250
56253 1 400 228
56297 51 100 258
56322 30 100 258
56325 30 100 253
56326 1 200 246
56327 51 100 266
56328 51 100 267
56337 1 350 226
56338 1 50 244
56340 1 300 247
56341 1 200 238
56342 1 100 252
56354 1 300 248
56375 1 100 268
56377 1 50 271
56379 1 500 226
56380 45 100 254
56381 1 250 234
56383 1 350 228
56387 1 50 252
56388 1 450 209
56390 1 100 255
56392 1 250 226
56394 1 100 235
56396 1 300 245
56430 1 200 261
56528 1 50 260
56533 1 100 290
56540 20 100 278
56541 1 200 247
56544 1 50 275
56460 40 100 276
56461 1 100 263
56462 1 300 231
56466 1 450 242
56467 40 100 265
56554 51 100 249
56513 55 100 236
69184 1 50 275
69195 1 100 252
69223 1 50 240
69856 1 100 266
56562 1 500 229
56564 1 100 279
56575 1 50 272
56578 1 450 208
