# lumi Mchi Mphi nEvent
58912 1 100 96
59389 1 100 85
59892 1 500 76
60225 1 500 67
60790 20 100 87
60924 1 200 97
189 1 500 78
376 1 50 94
751 1 100 90
755 1 100 90
809 40 100 104
874 1 300 83
1246 1 50 98
1554 51 100 103
1859 1 300 93
2139 30 100 104
2147 1 100 80
2185 1 350 83
2206 40 100 93
2354 1 50 103
2366 30 100 90
2380 51 100 95
2444 40 100 92
2540 51 100 98
2646 45 100 102
2686 1 450 80
2855 1 100 87
2863 30 100 96
3101 1 100 103
3201 49 100 93
3307 1 450 75
3437 1 400 87
3507 40 100 102
4494 1 250 105
4680 55 100 92
5050 30 100 95
5793 1 450 80
5987 1 150 87
450 1 150 105
1427 20 100 111
2715 20 100 102
5809 1 100 85
6031 1 100 97
6086 1 350 89
6420 1 150 88
6628 1 200 84
6904 1 350 76
7094 1 300 90
7460 1 300 92
7703 1 450 78
7719 1 300 99
7784 20 100 95
7881 1 400 81
7889 49 100 84
8408 1 500 73
8514 1 50 89
9087 1 350 83
9298 1 100 102
9613 30 100 96
9720 49 100 98
10719 30 100 88
10842 45 100 101
10898 1 50 86
14383 1 50 90
15060 30 100 88
15784 45 100 87
15807 1 50 84
15827 55 100 88
18302 1 100 91
18871 1 100 84
19185 1 450 80
19235 51 100 88
19290 1 100 84
20336 49 100 97
20854 20 100 94
797 1 150 78
945 30 100 91
966 1 400 79
1081 1 250 88
1090 1 100 97
1138 40 100 99
1221 1 150 100
1235 1 50 87
1262 30 100 88
1302 1 200 87
1400 1 350 92
1409 1 150 71
1411 30 100 88
1539 1 200 82
1619 55 100 99
1676 20 100 89
3875 20 100 92
4052 1 250 77
4296 1 350 80
4352 1 100 100
4450 1 50 84
4516 40 100 86
4539 1 100 86
4710 1 100 92
4938 1 50 84
5162 55 100 90
5388 1 150 88
5480 1 500 80
5729 1 300 82
5919 20 100 85
3608 1 250 88
4629 1 100 85
18960 1 300 80
34306 1 100 93
38915 1 50 91
19880 51 100 99
24005 40 100 94
24199 1 50 92
24353 40 100 97
24531 1 350 74
24620 1 100 93
24897 1 300 94
32935 40 100 107
37410 49 100 95
40035 1 100 93
40179 1 400 71
49097 1 300 89
49619 1 100 92
50636 55 100 85
50781 1 100 91
50798 1 250 86
50919 1 100 92
51682 1 50 83
52161 30 100 99
52178 1 200 84
52461 40 100 96
52761 1 250 80
53379 51 100 83
53870 40 100 100
56873 30 100 78
56978 1 50 105
58138 1 300 85
58146 1 200 82
58461 30 100 102
60661 1 200 95
60742 1 500 69
23269 1 50 79
23592 40 100 105
24326 55 100 102
27093 1 200 87
27224 55 100 92
27247 1 350 78
27342 1 50 91
27437 1 100 89
28653 51 100 102
30133 1 450 74
30468 1 50 87
30490 1 500 77
31232 45 100 99
31267 1 400 83
31303 55 100 99
31320 1 300 91
31344 51 100 98
31514 1 100 99
31749 1 50 92
31918 1 50 102
32460 1 100 112
34499 51 100 103
34633 1 150 89
34929 55 100 100
35420 51 100 98
35542 1 450 89
35728 49 100 85
35863 1 50 114
37205 1 300 82
37347 45 100 88
37484 1 200 96
39172 49 100 88
39280 1 200 84
39618 1 100 87
46650 1 450 78
46691 1 150 82
23600 1 100 90
23616 30 100 87
23689 45 100 104
23754 51 100 96
23859 30 100 101
27140 1 450 80
27144 20 100 93
27545 1 100 82
27670 1 350 76
28094 1 200 97
28706 20 100 84
28945 1 50 83
28952 1 50 96
30247 55 100 79
31165 1 250 81
31402 1 400 69
31433 1 100 96
31763 1 200 92
32421 1 150 89
34013 1 500 76
34212 55 100 97
34235 1 100 92
34489 1 150 96
35486 1 150 96
35883 51 100 98
37052 1 200 80
37109 49 100 101
37186 1 50 82
37622 1 50 86
37698 1 100 90
37803 55 100 87
37966 1 450 77
30497 1 100 97
39586 1 400 80
40235 1 50 90
40364 1 300 75
40867 51 100 88
59675 1 50 97
60112 30 100 101
62027 1 250 86
62224 1 50 93
62321 45 100 102
62640 40 100 92
69657 1 500 67
54284 49 100 97
55300 1 400 94
55436 1 100 99
55486 45 100 94
55829 55 100 91
61996 1 100 96
62229 1 150 89
64012 1 50 77
64024 20 100 99
67639 1 50 96
67767 40 100 97
68104 1 400 81
69198 1 100 89
69639 30 100 82
69717 1 350 80
69723 1 300 84
69882 1 200 79
69899 1 50 97
75524 55 100 89
62203 20 100 104
69705 1 50 102
69812 1 50 95
71769 1 50 79
72817 1 350 75
72992 1 500 64
73314 1 50 83
73463 40 100 93
73805 1 450 82
73827 51 100 90
74369 1 350 82
74486 1 50 95
74674 51 100 99
74819 49 100 103
74840 30 100 88
75951 1 50 98
76481 1 400 86
76490 1 100 98
76500 1 50 98
76578 1 100 91
76993 51 100 85
77392 1 350 90
87811 55 100 100
94365 1 100 98
97313 1 500 74
97823 1 50 98
99605 1 500 75
91930 20 100 100
96523 1 200 88
98011 1 200 83
98069 55 100 97
101072 1 100 92
52651 1 100 92
54618 1 350 77
54723 40 100 96
56179 49 100 93
57181 1 150 94
60356 1 150 92
62386 40 100 92
62442 55 100 84
62781 1 400 81
63419 1 200 88
64073 20 100 101
67061 1 150 82
69495 1 50 99
69613 1 100 98
54714 1 100 85
55669 1 250 83
62354 1 100 92
63988 1 100 108
64391 20 100 95
64478 1 100 96
67434 45 100 91
67906 1 250 70
68525 20 100 88
68528 1 100 92
69115 1 100 99
69496 1 450 76
69522 1 50 99
69529 49 100 86
69987 55 100 95
74064 49 100 93
74627 49 100 107
75202 1 50 101
75209 30 100 101
75582 1 200 85
78171 1 250 83
78705 1 300 76
94608 1 400 81
96644 1 100 94
97160 1 150 78
97162 1 450 75
100645 1 400 72
101622 1 50 97
100286 20 100 99
101699 1 450 74
102311 30 100 86
76094 1 100 111
61687 1 500 76
70625 1 100 95
70640 20 100 89
70763 45 100 106
77430 1 200 92
79468 20 100 95
80219 51 100 103
80628 40 100 89
85989 1 50 90
86526 1 500 67
86655 45 100 90
88060 49 100 98
88691 20 100 101
88829 1 350 82
88924 1 300 83
90213 1 100 88
85455 1 300 78
87374 30 100 94
87801 51 100 94
94005 1 150 90
94932 1 350 85
95158 51 100 93
95432 51 100 102
95580 1 100 82
95611 1 100 85
96725 30 100 95
97630 1 500 76
97783 30 100 92
98279 30 100 91
98621 45 100 90
98671 1 100 103
99190 1 400 77
99444 1 250 88
99516 1 50 83
101105 20 100 87
101162 1 350 80
101243 20 100 96
101433 1 250 79
101676 1 100 104
94399 30 100 109
94545 1 50 103
96501 1 100 100
97151 55 100 97
97871 1 50 92
97999 51 100 101
98119 1 350 80
98218 40 100 106
98882 49 100 117
99826 1 150 94
100048 1 100 97
100161 1 250 79
101170 51 100 93
101190 1 200 93
101939 49 100 97
102360 1 450 78
6116 49 100 97
6907 1 500 70
7233 49 100 91
7688 1 350 70
7903 20 100 96
8188 30 100 78
8226 1 50 89
8612 1 100 89
8991 55 100 92
9424 1 250 79
9907 1 50 98
9952 1 450 75
10234 1 50 108
10366 1 200 76
10393 1 100 91
10520 55 100 85
10731 1 100 87
13116 1 50 100
14180 1 150 102
14196 1 300 79
14470 1 350 86
14672 1 300 88
15005 20 100 95
15184 55 100 100
15411 20 100 98
15724 1 100 104
15965 1 50 91
16734 1 500 74
16885 1 100 97
16973 40 100 101
17623 1 500 76
17644 55 100 86
18140 1 50 92
18318 20 100 90
18539 20 100 101
18547 1 250 93
18636 1 150 89
18731 1 200 90
18943 1 200 85
19773 55 100 93
19784 20 100 89
19924 1 250 85
20356 1 450 66
20451 1 50 97
20687 1 350 82
21193 1 100 92
21317 45 100 95
21455 1 150 88
21481 49 100 84
21766 20 100 94
21884 1 400 82
22112 1 500 70
22266 1 250 81
6379 1 350 94
6492 1 50 95
6800 1 100 94
7355 1 150 85
8271 1 450 73
10161 1 50 101
10241 1 100 96
10404 1 50 87
