# lumi Mchi Mphi nEvent
15840 1 250 241
15993 1 50 285
15777 1 50 258
15828 30 100 275
28783 1 50 266
28854 1 300 233
28862 1 50 265
17585 1 450 216
24208 1 100 272
24211 49 100 272
24495 1 200 244
24513 51 100 247
24523 1 150 272
24612 1 50 254
25565 1 50 282
29124 51 100 277
17593 1 450 222
20636 1 250 245
24068 1 50 270
24214 1 500 213
25767 1 100 257
27404 1 100 246
29083 1 100 269
29101 1 50 273
29122 1 50 279
29193 1 300 241
29624 55 100 234
29655 1 100 261
29765 1 50 271
24213 1 350 239
24227 20 100 277
25152 1 50 271
29210 45 100 245
29607 30 100 262
24914 49 100 284
15342 1 100 259
15605 1 100 278
28353 1 150 267
28462 45 100 273
28650 1 200 232
28709 1 150 233
28732 49 100 253
28734 1 50 260
28769 1 100 269
28928 1 450 220
15348 1 100 260
28309 1 200 232
28342 1 100 237
28347 1 200 231
28453 51 100 254
28642 1 300 234
28643 20 100 265
28646 1 50 254
28654 1 50 277
28659 1 500 215
28770 1 450 228
28835 49 100 263
15352 1 50 270
28346 20 100 252
28542 30 100 275
28638 1 100 250
28653 1 100 256
28656 49 100 267
28667 40 100 275
28771 45 100 258
28784 1 500 219
28850 55 100 242
28919 51 100 259
28975 1 50 242
15530 55 100 258
28609 55 100 265
28619 1 100 282
28622 1 300 239
28810 49 100 274
28880 1 50 271
28985 45 100 253
17782 51 100 253
19320 1 450 235
19196 1 200 231
19861 1 450 215
23591 1 50 251
19176 49 100 234
19179 55 100 230
20218 1 250 237
29938 1 300 239
19040 1 500 230
19063 1 250 257
19136 1 200 259
19142 55 100 272
19165 1 100 268
19175 30 100 263
19202 55 100 242
19208 1 350 225
19210 1 50 247
19428 20 100 255
19482 1 250 244
19894 1 50 258
19973 1 50 254
20034 1 50 263
19067 1 50 273
19140 1 250 242
19180 1 50 272
19330 1 400 234
19334 40 100 267
19349 20 100 271
19360 1 50 284
19513 49 100 252
19575 30 100 264
19863 1 400 220
19874 1 400 205
19886 1 300 238
20109 1 500 207
20104 40 100 288
20198 1 150 245
20203 1 350 227
20391 1 100 270
23763 30 100 277
23853 1 100 279
25284 1 400 228
27983 1 50 261
29002 1 250 258
29479 40 100 256
29501 49 100 266
29522 1 500 209
29575 1 350 225
20167 49 100 251
20192 1 150 242
20193 1 150 264
20204 30 100 255
20213 1 350 223
20223 1 50 252
20227 20 100 230
20239 1 400 222
20294 1 100 272
20362 20 100 249
20370 1 50 265
20398 55 100 239
20404 1 100 264
